-3.14,NaN
-3.04,NaN
-2.94,NaN
-2.84,NaN
-2.74,NaN
-2.64,NaN
-2.54,NaN
-2.44,NaN
-2.34,NaN
-2.24,NaN
-2.14,NaN
-2.04,NaN
-1.94,NaN
-1.84,NaN
-1.74,NaN
-1.64,NaN
-1.54,NaN
-1.44,NaN
-1.34,NaN
-1.24,NaN
-1.14,NaN
-1.04,NaN
-0.94,NaN
-0.84,NaN
-0.74,NaN
-0.64,NaN
-0.54,NaN
-0.45,NaN
-0.35,NaN
-0.25,NaN
-0.15,NaN
-0.05,NaN
0.5,-0.3103428607325549
0.6,-0.23275714554941618
0.7,-0.1642991615642938
0.8,-0.10344762024418494
0.9,-0.04900150432619287
1.0,0.0
1.1,0.0
1.2,0.0846389620179695
1.3,0.12143851072143455
1.4,0.15517143036627742
1.5,0.18620571643953296
1.6,0.21485274973792265
1.7,0.24137778056976492
1.8,0.26600816634219
1.9,0.2889399048199649
2.0,0.3103428607325549
